i,Action,Industry,Country,ИНН
Altium,Altium Limited прекратила продажу ПО для клиентов из России.,,США,4337005035
Eneba,Eneba закрыла доступ пользователям из России.,,Литва,
SiteGround,SiteGround закрыл доступ для пользователей из России.,,Болгария,
Games Workshop,Games Workshop приостанавливает все продажи продукции Warhammer в России.,,Великобритания,
Name.com,Name.,,США,
The MathWorks (Matlab),MathWorks отзывает лицензии у российских студентов и университетов.,,США,
Techland,Techland приостановила продажу игр в белорусском и российском Steam.,,Польша,
Kraft Heinz,"Kraft Heinz прекратила инвестиции, импорт и экспорт.",,США,
Elastic,Компания Elastic прекратила продажу продукции компаниям в России.,,США,7801510197
The Qt Company,"Скандинавский разработчик софта Qt Group, на базе продуктов которого российские компании создают интерфейсы и приложения, ограничил доступ для российских пользователей.",,Финляндия,7826144224
Avivi,"Украинская веб-студия Avivi, которая также имеет офисы в Москве выражает свою позицию про &quot;Корабль&quot;.",,Украина,3257015325
Desigual,Desigual удалил\/отключил &lt;a href=&quot;https:\/\/www.,,Испания,
Notino.ru,Notino приостановил обработку заказов интернет-магазина.,,Чехия,
MakeUpStore,Польский интернет-магазин MakeUpStore приостановил деятельность на территории России и Беларуси.,,Польша,
1Password,1Password приостановил деятельность на территории Российской Федерации.,,Канада,
TUI Group,TUI Group приостановил деятельность на территории России.,,Германия,7708769283
ApiX-Drive,ApiX-Drive перестал работать для пользователей из России.,,Эстония,
Sisters Aroma,Sisters Aroma временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,Украина,
KILIAN,Kilian временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,7736320980
DKNY,DKNY временно приостанавливает поставку товаров в Россию.,,США,
Too Faced,The Estée Lauder Companies приостановила всю коммерческую деятельность на территории России.,,США,
GLAMGLOW,GLAMGLOW временно приостановил поставки в Россию.,,США,
Jo Malone,Jo Malone временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,Великобритания,1832164355
La Mer,La Mer временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,7721551663
LAB SERIES,LAB SERIES временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,
Le Labo,Le Labo временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,7735036895
The Michael Kors,The Michael Kors временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,
Origins,Origins временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,7727498102
Smashbox Cosmetics,Smashbox Cosmetics временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,
DARPHIN,DARPHIN временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,Франция,
Donna Karan Cosmetics,Donna Karan Cosmetics временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,
Dr.Jart+,Dr.,,Корея,
Frédéric Malle,Frédéric Malle временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,
Ermenegildo Zegna,Ermenegildo Zegna временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,Италия,
Bobbi Brown Cosmetics,Bobbi Brown Cosmetics временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,
AVEDA,AVEDA временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,7702404110
Aramis,Aramis временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,7719094522
AERIN Beauty,AERIN Beauty временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,США,
Mac Cosmetics,Mac Cosmetics временно приостанавливает поставки косметики и сопутствующих товаров в Россию.,,Канада,
Sirv,Sirv приостановила деятельность на территории России.,,Великобритания,2463220705
Stripo,Stripo прекратил работу с жителями Российской Федерации.,,Украина,
Bonava (ЮИТ),Шведский девелопер Bonava объявил об уходе с рынка Санкт-Петербурга.,,Швеция,7841018263
Blackpack,Blackpack приостановил деятельность (доставку) своих рюкзаков на территорию Российской Федерации.,,Украина,
Palo Alto Networks,"Palo Alto Networks, мировой лидер в области кибербезопасности, постоянно внедряет инновации для обеспечения безопасной цифровой трансформации, даже несмотря на ускорение темпов изменений.",,США,9705040961
CircleCI,Платформа непрерывной интеграции для лучших инженерных команд мира.,,США,
DAEMON Tools (Disc Soft Ltd),DAEMON Tools перестал поддерживать Deamon Tools и reWASD на территории России и Беларуси.,,Украина,
WebPromoExperts,Украинская компания WebPromoExperts приостановила деятельность на территории Российской Федерации.,,Украина,
Synology,Synology вынуждено прекратил деятельность на территории России и Беларуси.,,Тайвань,
Plastic SCM,"Plastic SCM — это система управления версиями, которая помогает командам сосредоточиться на выполнении работы, выполняя одну задачу за раз.",,Испания,
Jungheinrich AG,Jungheinrich AG — немецкий производитель подъемно-погрузочной техники и складского оборудования.,,Германия,
"Collar, WauDog, Puller","Collar, WauDog, Puller приостановили деятельность на территории Российской Федерации.",,Украина,
RS Components,RS Components перестал работать на территории Российской Федерации.,,Великобритания,7816484197
Hilton Hotels,Hilton принял решение приостановить деятельность по открытию новых отелей в России.,,США,
Литнет (Litnet),Литнет закрыл доступ пользователям из России&lt;b&gt;Литнет (англ.,,Украина,9704145094
Cloverhost,CloverHost прекратил обслуживать клиентов из России.,,Украина,
Soda PDF,LULU Software закрыла сайт для пользователей из России.,,Канада,
Square Enix,Square Enix приостановила продажу игр в России в Steam и Epic Games Store.,,Япония,
Capcom,Capcom без предупреждения сняла все свои игры с продажи в российском Steam.,,Япония,
Envato,Envato остановила выплаты авторам из России.,,США,
Hyatt Hotels Corp,Hyatt решил приостановить строительство новых отелей на территории России.,,США,
OpenCartForum,OpenCartForum – форум для программистов по OpenCart.,,Worldwide,
PortaOne,PortaOne — глобальный разработчик программного обеспечения для телекоммуникаций.,,Украина,
Ataccama,Ataccama — международный разработчик программного обеспечения.,,Ангилья,
SSLs.com,SSLs.,,США,
Crunchyroll,Crunchyroll закрыл доступ для пользователей из России&lt;b&gt;Crunchyrol...,,Япония,
Nebosh,Nebosh прекратила работу на территории России и Беларуси.,,Великобритания,
Worksection,"Worksection прекратила поддержку действующих клиентов из России, включая новые регистрации, заключение договоров и выставление счетов.",,Украина,9702034470
JavaRush,JavaRush испытывает трудности в доступности на территории России для основного домена javarush.,,Россия,
Sony Playstation Network,"Sony приостанавливает работу Playstation Store, поставки консолей и игр в Россию.",,Япония,
Melodics,"Melodics-музыкальная программа для изучения клавиатуры, пэды и ударные.",,Новая Зеландия,
Exante,"EXANTE — это технологическая компания, предоставляющая централизованные торговые решения и финансовую инфраструктуру B2B.",,Кипр,5037003261
PimEyes,Польский сервис PimEyes для поиска людей в интернете .,,Польша,
Avto.pro,Украинский онлайн маркетплейс автозапчастей avto.,,Украина,
Hays,Hays - Международная рекрутинговая компания.,,Великобритания,7704720488
CityBee,"Компания каршеринга CityBee в Эстонии работающие не в России, но занимающиеся дискриминацией русских.",,Эстония,
pixel federation,"Pixel Federation, Ltd.",,Словакия,
Evolution CMS,CMS - это бесплатная платформа с открытым исходным кодом для разработки сайтов и сервисов.,,Украина,
Crunchbase,Crunchbase закрыл доступ к сервису для пользователей из России.,,США,
Interkassa,Interkassa перестала работать на территории Российской Федерации.,,Украина,7730574057
Bungie,Bungie приостановила продажу Destiny 2 на территориях России и Беларуси.,,США,
INSYDIUM,"Компания INSYDIUM приостановила все лицензии пользователей из РФ,а деньги потраченные перев...",,Великобритания,
Carlsberg Group,Carlsberg прекращает производство и продажу продукции на территории РФ.,,Дания,
Auth0,Auth0 приостановил работу с клиентами из России.,,США,
Udemy,Udemy перестал принимать оплату новых регистраций на курсы от учащихся из России.,,США,
DIDWW,DIDWW приостановил работу всех лицевых счетов пользователей из России и Беларуси.,,Ирландия,
Space foundation,"Космическая конференция &lt;b&gt;зацензурировала имя первого человека в космосе,&lt;\/b&gt; потому что он был русским.",,США,7730175408
Simplit.io,Simple Integration Простая интеграция 1С:Предприятие и облачных сервисов.,,Украина,
Skylum,Skylum перестал работать с российских IP.,,Украина,
Pepperstone,Pepperstone отключила торговые инструменты для граждан из России и Беларуси.,,Австралия,
ZAHIDHOST,Хостинг провайдер Zahid.,,Украина,
YouControl,"YouControl перестал работать с российских IP, а также на сайте появилась заглушка с нецензурной бранью.",,Украина,
Worksectoion,Worksectoion прекратил поддержку действующих клиентов из России.,,Украина,
Template Monster,"TemplateMonster прекращение сотрудничества и монетизации на российских блогах, сайтах и социальных сетях.",,США,
MilleFleur,Магазин MilleFleur приостановил продажу товаров для рукоделия для России и Беларуси.,,Украина,7715685690
MailerLite,MailerLite — это сборник инструментов для эффективного Email маркетинга.,,Европейский союз,
Pluralsight,Pluralsight заморозил подписки пользователей из России и Беларуси,,США,
Flickr,Flickr отключил платные аккаунты россиян.,,США,
Host Tracker,Host Tracker ограничил доступ для пользователей из России и Беларуси Хост-Трекер — это сервис для мониторинга работоспособности сайта.,,Великобритания,
Michelin (гастрономический гид),Гастрономический гид Michelin заявил о заморозке всех своих проектов в России.,,Франция,
Brazzers,Brazzers перестал работать для российских пользователей.,,Канада,6164128466
VPS.ua,&lt;b&gt;VPS.,,Украина,
Netpeak Software,NetPeak Software отключил доступ к продуктам для России и Беларуси без возврата средств.,,Украина,
HostPro,"&lt;b&gt;HostPro&lt;\/b&gt; – украинская хостинговая компания, находящаяся на рынке IT-услуг уже более 21 года.",,Украина,
eKatalog (e-katalog.ru),"e-Katalog - каталог товаров, сравнение, подбор, все цены интернет-магазинов.",,Украина,
KeepSolid Inc,KeepSolid VPN Unlimited - это программное обеспечение для персональной виртуальной частной сети.,,США,
Poker Stars,Онлайн-сервис для игры в покер Poker Stars объявил о временной остановке работы в России.,,Израиль,
Avira,Антивирус Avira перестал обновлять базы данных российских пользователей.,,Германия,5905268860
3M Company,3M Co.,,США,1646033450
Amazfit Watch Faces,AmazfitWatchFaces.,,Украина,
Amazon Web Services (AWS),«Облачная» платформа Amazon запретила регистрацию новых клиентов из России и Белоруссии из-за «текущей ситуации и неопределённости».,,США,
OTTClub (онлайн телевидение),,,Великобритания,
Wialon,Wialon — платформа для GPS-трекинга и IoT.,,Литва,7719835682
Plugin Alliance,Plugin Alliance - компания по разработке софта.,,США,
Grivel,Grivel-производство альпинистского снаряжения.,,Италия,262023051
CRAFTD,CRAFTD приостановил всю коммерческую деятельность в России.,,Великобритания,7726708131
Andersen People,Украинская компания Anderson прекратила работу на территории Российской Федерации.,,Украина,
Smartproxy,Smartproxy перестал обслуживать клиентов из России и Беларуси.,,США,
Miniart,,,Украина,7713094759
Reface,Украинский стартап Reface начал рассылать российским пользователям уведомления с кадрами из Украины и призывом выходить на митинги.,,Украина,
Plarium,Plarium удалила свои игры для россиян.,,Израиль,7743133331
GratisDNS,GratisDNS приостановил свою деятельность для граждан России и Беларуси.,,Германия,
Juniper,Juniper приостановил поставки в Россию и Беларусь.,,США,7816383382
PULL&BEAR,Pull&amp;Bear приостановил работу магазинов и онлайн-продажи на территории Российской Федерации.,,Испания,
Marsego,"Дизайнерский бренд женской одежды MARSEGO «кинул» всех российских клиентов, собрав деньги з...",,Украина,
CD Projekt RED,CD Projekt RED прекратила продажи игр в России и Беларуси.,,Польша,
DuckDuckGo,"DuckDuckGo заявил, что выпускают обновление для своего поисковика, который будет занижать результаты российских СМИ сайтов с &quot;дезинформацией&quot;.",,США,
Grafana,Grafana — это мультиплатформенное веб-приложение для аналитики и интерактивной визуализации с открытым исходным кодом.,,Worldwide,
Jira,"10 марта Baza сообщила, что российские пользователи начали жаловаться на проблемы с Jira — популярным инструментом для управления задач в ИТ-компаниях.",,Австралия,6230072184
Patreon,Из-за санкций против российских банков Patreon запрещает создателям контента выводить деньги.,,США,6432024440
Buildkite,,,Австралия,
uTest,uTest приостановил работу в России и Беларуси.,,США,1660367688
SparkMail,Компания Readdle которая владеет продуктом SparkMail прекращает продаж и поддержки приложений в России.,,Германия,
DeltaHost,DeltaHost остановил обслуживание клиентов из России и установил заглушку с экстремистским содержанием.,,Украина,
Хостинг Украина,"Хостинг Украина закрыл доступ для клиентов из России, а также подменяет сайт клиента на заглушку с оскорбительным содержанием.",,Украина,
WPHost,WPHost остановил работу и установил баннер с оскорбительным содержанием.,,Украина,
SendPulse,"&lt;b&gt;SendPulse&lt;\/b&gt; — это онлайн-сервис, позволяющий создавать наиболее персонализированное рассылки по e-mail, SMS и Viber.",,Украина,
GitLab,Gitlab приостановил бизнес в России и Белоруссии.,,Нидерланды,
Lego Group,"Lego приостановила поставки продукции в Россию в свете санкций, заявил представитель компании.",,Дания,7704698169
ImageShack,"&lt;b&gt;ImageShack&lt;\/b&gt; - это веб-сайт с хостингом изображений на основе подписки, шт...",,США,
"Meta Platforms (Facebook, Instagram, Whatsapp)",Meta Platforms Inc.,,США,
keepincrm.com,"KeepinCRM — CRM-система, созданная в 2017 году для автоматизации бизнеса, объединившая весь спектр в...",,Украина,
Collaborator,Collaborator.,,Кипр,7202080812
Lurkmore,Сайт Lurkmore.,,Украина,
Tenable,,,Великобритания,7726627860
Brewdog,"BrewDog — многонациональная сеть пивоварен и пабов, Была основана в 2007 году Джеймсом Уоттом и Мартином Дики, которые вместе владеют 46 % акций компании.",,Великобритания,
Devart,Devart прекращает работу с пользователями из России и Белоруси.,,Чехия,7806298882
Ansys Inc.,,,США,
Deeper Sonar,,,Литва,
IT Hillel (Компьютерная школа),Компьютерная школа Hillel — одна из крупнейших IT-школ в Украине.,,Украина,
CI Games,"Польская CI Games, известная по серии Sniper: Ghost Warrior, тоже &lt;a href=&quot;https:\/\/twitter.",,Польша,
Humble Bundle Inc.,Humble Bundle прекращает продажи в России и Белоруссии,,США,
Unity,,,США,7723831088
Weblancer,"Weblancer – это онлайн биржа удаленной работы, представляющая собой удобный способ взаимодействия между работодателем и специалистом.",,Украина,
Logis,LOGIS - поставщик бизнес-услуг и производитель программного обеспечения Advanced Planning &amp; Scheduling (APS) и Sales and Operations Planning (S&amp;OP).,,Чехия,7717519593
Djinni,Джинн (djinni.,,Украина,
Let’s Enhance,"Let's Enhance — украинский стартап, разрабатывающий онлайн-сервис, созданный с помощью иску...",,Украина,
Gopax,Южнокорейская криптобиржа заблокировала аккаунты россиян из-за санкций.,,Корея,
ЯБпоела,"ЯБпоела – Кулинарный сайт, на котором собраны вкусные рецепты на каждый день и праздничный стол.",,Украина,
Fondy,Fondy – Платежная система для приема карт VISA и MasterCard в Украине.,,Великобритания,
SAS,SAS приостановил деятельность на территории Российской Федерации.,,США,3808187605
Freelancehunt,,,Украина,9704105976
Universal Audio,Universal Audio в России и Беларуси больше не работают.,,США,
Terrasoft,Украинская ИТ-компания Terrasoft объявила о прекращении работы с клиентами и партнерами в РФ и Беларуси из-за военного вторжения в УкраинуОб этом сообщает ЭП.,,Украина,
Herbalife Nutrition,"Herbalife Nutrition – одна из лидирующих международных компаний в области сбалансированного питания, которая помогает миллионам людей по всему миру вести активный и здоровый образ жизни.",,США,
Wakanim,"Wakanim — французская развлекательная компания, международный поставщик аниме-сериалов на о...",,Франция,
Lokalise,"Lokalise — компания, предоставляющая облачную систему управления переводами.",,Латвия,
Avalanche Studios \/ Systemic Reaction,Avalanche Studios заблокировала все свои игры в Steam для пользователей из России.,,Швеция,
LucasArts,Lucasfilm Games — игровая студия киностудии Lucasfilm.,,США,
ravenscourt,Ravenscourt-Разработчик видеоигр.,,Великобритания,
Koch Media,Koch Media — немецко-австрийская массмедиа-компания.,,Германия,
Globalstar,"Компания «Глобалтел», оператор российского сегмента международной сети мобильной спутниковой связи Globalstar, объявил о прекращении обслуживания абонентов.",,США,
InnoGames,InnoGames - один из крупнейших в мире разработчиков и издателей онлайн-игр.,,Германия,
"Strava, Inc.",Strava приостановила работы сервисов в России и Беларуси.,,США,
Аквелон,"28 февраля 2022г, сотрудникам Аквелона сообщили, что компания приняла решение закрыть все офисы в России, а это Иваново, Ярославль, Казань и множество сотрудников, работающих удаленно.",,США,3702645510
KPMG International Limited,"KPMG - одна из крупнейших в мире сетей, оказывающих аудиторские услуги.",,Нидерланды,7702019950
Behaviour Interactive,"Behaviour Interactive — независимая канадская компания, специализирующаяся на разработке компьютерных игр.",,Канада,
windguru,"Windguru Специальный прогноз ветра и погоды для виндсерфинга, кайтсерфинга и других видов спорта, связанных с ветром.",,,
Apple Inc.,,,США,6321271878
Lufthansa Systems,,,Германия,
Cisco Systems,Американский производитель сетевого оборудования и программного обеспечения для бизнеса Cisco объявил о приостановке всех бизнес-операций в России и Беларуси.,,США,7705751094
EPAM Systems Inc.,Разработчик программного обеспечения EPAM Systems Inc.,,США,7719232155
HP (Hewlett Packard),HP приостановила продажи своей продукции в России.,,США,
Serpstat,SEO-платформа Serpstat заблокировала россйиские аккаунты без возврата средств.,,Украина,
Paysera,,,Литва,7804184022
VISA,"Карты VISA, MasterCard выпущенные на территории России по прежнему будут работать внутри страны.",,США,
CEX.IO,Криптовалютная биржа CEX.,,США,
DMarket,NFT-платформа DMarket заморозила счета пользователей из России и Беларуси и перевела их средства украинской армии.,,США,
Кроме того,"компания временно прекратила работу на территорию Украины.""",,Германия,
Kühne Nagel,"Международная транспортно-логистическая компания Kuehne+Nagel, штаб-квартира которой находи...",,Швейцария,
UPS (United Parcel Service),UPS и FedEx приостановили доставку грузов в Россию и на Украину.,,США,7707280394
"H&M (COS, Monki и др.)",H&amp;M приостановил продажи в России.,,США,
Nintendo eShop,В российском Nintendo eShop приостановили обработку транзакций в рублях,,Япония,
UpWork,"Международная фриланс-биржа Upwork в понедельник заявила, что решила прекратить работу в России и Беларуси.",,США,
WIX,"Конструктор сайтов WIX запретил прием платежей через все российские платежные системы (ЮKassa, Робокасса, Fondy), выборочно закрывает сайты, как об этом пишут пользователи Пикабу.",,Израиль,3526030067
ИЛЬ ДЕ БОТЭ,"Французская сеть магазинов парфюмерии и косметики «Иль де Ботэ» с 8 марта временно закрыла все магазины, а заказы в интернет-магазине не принимаются.",,Франция,7707061530
Brp,"Компания BRP является мировым лидером в сфере техники для активного отдыха и спорта, а также водометных систем.",,Канада,1650351336
Shopify,Конструктор сайтов Shopify закрыл партнерский аккаунт некоторых разработчиков из России.,,Канада,
Atlassian (Trello),Trello (Atlassian) приостановил деятельность в России.,,Австралия,
TLM,,,США,8603001961
Sectigo (Comodo),Sectigo прекратил выдавать россиянам SSL-сертификатыТакже в Telegram-кан...,,США,
RedHat,"Компания Red Hat приняла решение разорвать партнёрские отношения со всеми компаниями, находящимися или имеющими штаб-квартиры в России или Беларуси.",,США,
Paulig Group,"Paulig Group (произносится Па́улиг груп) — финская компания, производитель кофе.",,Финляндия,
HashiCorp,При заходе на сайт компании HashiCorp из России выдает ошибку &quot;Error 405 Not allowed&quot;.,,США,
Zabbix,,,Worldwide,7730245790
Yoox,"Fashion-ритейлер Yoox Net-a-Porter Group объявил о том, что останавливает доставку в Россию в связи с ситуацией на Украине.",,Италия,3666255215
Ableton,Ableton приостанавливает продажи в России.,,США,
Crashplan (Code 42),"CrashPlan — программное обеспечение для резервного копирования, позволяющее пользователям о...",,США,
OneBox OS,"OneBox OS - это платформа, операционная система для бизнеса, она состоит из сотен приложений.",,Украина,
AdsKeeper,,,США,
Ajax,,,Украина,7300000558
IT-Enterprise,IT-Enterprise – Современные IT-решения для управления бизнесом.,,Украина,5408029206
Foxminded,,,Украина,
Bethesda Softworks,Все игры издательства Bethesda Softworks и дополнения для них стали недоступны для покупки в Steam и Epic Games Store с территории России.,,США,
Readdle,"Популярные приложения Documents, Spark и другие от Readdle удалены из российского App Store...",,США,
Tiu.ru,Маркетплейс tiu.,,Украина,3528105078
TopCashback,,,Индия,
VPN Unlimited,,,США,
DataArt,,,США,9909285342
Smartsender,,,Украина,
LEELOO,LEELOO.,,Украина,
Poster Pos,CRM-система для общепита Poster отключила 10 тысяч клиентов из России и Белоруссии из-за ситуации на Украине.,,Украина,7805012361
Render Camp,Компания render.,,Украина,
Women'secrets,,,Испания,
PriceWaterhouseCoopers,"PricewaterhouseCoopers — международная сеть компаний, предлагающих услуги в области консалтинга и аудита.",,Великобритания,9909019020
JCB (платёжная система),Японская платежная система JCB приостановит операции в России.,,Япония,
Ionos,"Ionos (ранее 1&amp;1 IONOS и 1&amp;1 Internet) – компания, предоставляющая услуги веб-хостинга.",,Германия,6168719068
Kevuru Games,"Kevuru Games , разработчик игр.",,Украина,
Elan professional line,Профессиональная косметика ELAN.,,Украина,
Jooble,Международная компания Jooble.,,Украина,
Mercedes-Benz Group AG,Германский автопроизводитель Mercedes-Benz приостановит поставки легковых автомобилей в РФ и их производство на ее территории.,,Германия,7707016368
Daimler Truck AG,"Daimler Truck AG — один из крупнейших в мире производителей грузовых автомобилей, имеющий более 35 основных предприятий по всему миру и около 100 000 сотрудников.",,Германия,1650032058
Skyscanner,"Skyscanner – это метапоисковая система и туристическое агентство, расположенное в Эдинбурге, Шотландия.",,Великобритания,
Siemens Energy,,,Германия,9705141494
Trimble Inc.,"Trimble — компания, работающая в области разработок систем определения местоположения по си...",,США,
Maxon,Компания Maxon создает профессиональные 2D и 3D решения для индустрии CG.,,Германия,6673228240
TNT,TNT временно приостановила деятельность на территории России.,,США,7725752402
Avid Technology,"Avid Technology - американская компания, специализирующаяся на аудио и видеотехнологиях.",,США,
Junttan,"Junttan Oy - финская компания, которая специализируется на разработке, производстве, маркетинге и об...",,Финляндия,7841026313
Laba,"Журнал Laba — статьи о маркетинге, менеджменте, HR, продажах, бизнесе etc.",,Украина,7717074351
Robot Dreams,"Robot_dreams – украинская онлайн-школа программирование, аналитики и дата анализу, аналітики та data science.",,Украина,
Flashscore,Сервис спортивной статистики Flashscore.,,Мальта,
Docker,В поддержку Украиской комьюнити на время конфликта останавливают все бизнес процессы с Российской стороной.,,Worldwide,2540173361
Crocoblock,"Crocoblock - это набор инструментов для пользователей Elementor, который поставляется с мно...",,Украина,
ethermine,Ethermine остановили майнинг для России и Беларуси.,,США,
Zortrax,Zortrax - польский производитель 3D-принтеров и нитей для рынка SMB и быстрых прототипов для отрасле...,,Польша,
Universal Music Group,"Звукозаписывающая компания Universal Music Group приостанавливает деятельность в России, сообщает издание &lt;a href=&quot;https:\/\/www.",,США,
Restream,Restream — облачный многопотоковый сервис.,,США,
Mikrotik,"Mikrotik, латвийский производитель маршрутизаторов, прекратил поставки своей продукции в Россию и Беларусь.",,Латвия,7721763322
SuSe,"SUSE - это немецкая международная компания по разработке программного обеспечения с открытым исходным кодом, которая разрабатывает и продает продукты Linux бизнес-клиентам.",,Германия,9718091152
Cgtrader,CGTrader — маркетплейс 3D моделей для VR\/AR и CG projects и сообщества профессиональных 3D-дизайнеров.,,Литва,
Noiz.io,"Noizio – это приложение, которое заглушит шум улицы и позволит вам сосредоточиться на работе, повысив производительность труда.",,Украина,
Digital Extremes,"Digital Extremes — частная компания, которая специализируется на разработке компьютерных игр.",,Канада,
Parkrun,"паркран — еженедельные мероприятия, где необходимо пробежать или пройти дистанцию 5 км, проводящиеся в городских парках во многих странах мира.",,Великобритания,7729451893
DiDi,DiDi прекратит работу в России и Казахстане.,,Китай,7801579135
HOSTiQ,HOSTiQ.,,Украина,
OkayCMS,Украинская система управления сайтом для интернет-магазинов.,,Украина,
VistaCreate aka Crello,VistaCreate Графический онлайн-редактор изображений.,,Великобритания,
NETSCOUT,"NETSCOUT Systems, Inc.",,США,
CGMOON,"Польский сайт для загрузки 3D-моделей CGMood приостановил работу для российских пользователей, в связи с невозможностью выплат.",,Польша,
reFX,refx - компания по разработке программного обеспечения.,,Канада,
Bloober Team,"Bloober Team SA — польская компания, разработчик компьютерных игр, расположенная в Кракове.",,Польша,
Wise,Британский финтех-сервис по трансграничным платежам Wise объявил об остановке денежных переводов в РФ после новых санкций против России.,,Великобритания,7709930552
Teknos,Ведущий поставщик лакокрасочных покрытий для промышленности и бытового применения.,,Финляндия,7805192026
Small Giant Games,"Small Giant Games - компания по разработке мобильных игр, расположенная в Хельсинки, Финляндия.",,Финляндия,
Camunda Services GmbH,Camunda Services GmbH Компания по разработке программного обеспечения в Берлине.,,Германия,
Pond5,Pond5 — это нью-йоркский онлайн-рынок бесплатных медиа.,,США,
TideOver Studios,"Разработчик поднял для России цену на игру до 11405841,12 pуб.",,,
Alaric von Teplitz,"Казуальный кликер \/ менеджер ресурсов, в котором вы поставлены управлять фэнтезийным золотым рудником.",,,
Tesy,"ТЕСИ является крупнейшим болгарским и ведущим европейским производителем электрических водонагревателей, водонагревателей с непрямым нагревом.",,Болгария,6912001901
Backendless,"Backendless – платформа бэкенд как сервис (Backend as a Service), которая предоставляет готовую облачную серверную инфраструктуру.",,,
Hugo boss,Hugo Boss закрывает магазины и приостанавливает онлайн-торговлю в России.,,Германия,7705998285
Mondelez,Mondelez прекратит капиталовложения и приостановит расходы на рекламу в России.,,США,3321020710
Shiseido Group,Shiseido Group косметическая компания.,,Япония,
Формула-1 (Formula-1),&quot;Формула-1&quot; расторгла контракт на проведение Гран-при России.,,,5410069943
Opencart,"OpenCart — платформа электронной коммерции, ориентированная на создание интернет-магазинов.",,Гонконг,
MicroFocus,MicroFocus перестала обслуживать клиентов из России.,,Великобритания,
Rehau,"Rehau — немецкая компания, специализирующаяся на разработке систем для строительства, решений для индустрии и мебельной промышленности, а также автомобилестроения.",,Германия,7709265218
UNLIM,"Хостинг, домены и сервера: самый быстрый в мире безлимитный и распределённый хостинг на NVMe-дисках.",,,6027206271
